,id,match,date,home_red,home_yellow,home_team,home_goal,away_goal,away_team,away_yellow,away_red,home_goal_half,away_goal_half,main_bet,goals_bet,footGoal_bet,footGoal_home_half,footGoal_home,footGoal_away_half,footGoal_away,flag,f_home_goal_all_h_3,f_away_goal_all_h_3,f_home_yellow_all_h_3,f_home_red_all_h_3,f_away_yellow_all_h_3,f_away_red_all_h_3,f_flag_all_h_3,f_net_goal_all_h_3,f_net_yellow_all_h_3,f_date_all_h_3,f_diff_time_all_h_3
267,268,英超,17/12/30,0,0,伯恩茅斯,2,1,埃弗顿,0,0,1,0,-0.25,2.25,10.0,2,4,3,4,1,1.3333333333333333,2.6666666666666665,2.0,0.0,2.0,0.0,1.0,-0.3333250002083281,0.0,17/12/03,14.333333333333334
241,242,英超,18/01/14,0,2,伯恩茅斯,2,1,阿森纳,2,0,0,0,0.5,2.75,10.5,1,4,5,5,1,1.6666666666666667,2.6666666666666665,1.3333333333333333,0.0,1.6666666666666667,0.0,1.0,-0.23076390544833578,-0.11110740753086013,17/12/18,20.333333333333332
216,217,英超,18/02/03,0,2,伯恩茅斯,2,1,斯托克城,3,0,0,1,-0.5,2.5,10.5,4,8,0,1,1,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.0,2.0,0.0,1.0,0.16666250010416409,-0.09090661163786438,17/12/26,31.333333333333332
196,197,英超,18/02/24,0,1,伯恩茅斯,2,2,纽卡斯尔,4,0,0,2,-0.5,2.5,10.5,1,8,1,1,1,2.0,1.0,1.3333333333333333,0.0,1.6666666666666667,0.0,1.0,0.3333222225925802,-0.11110740753086013,17/12/30,39.333333333333336
170,171,英超,18/03/11,0,1,伯恩茅斯,1,4,托特纳姆热刺,1,0,1,1,1.25,3.0,11.0,2,4,1,5,1,2.0,1.3333333333333333,1.6666666666666667,0.0,3.0,0.0,1.0,0.19999400017999464,-0.2857081633964986,18/01/14,35.666666666666664
168,169,英超,18/03/17,0,1,伯恩茅斯,2,1,西布朗维奇,2,0,0,0,-0.75,2.5,10.0,2,3,2,2,1,1.6666666666666667,2.3333333333333335,1.3333333333333333,0.0,2.6666666666666665,0.0,1.0,-0.16666250010416409,-0.3333250002083281,18/02/03,23.0
152,153,英超,18/04/07,0,2,伯恩茅斯,2,2,水晶宫,2,0,0,0,0.0,2.75,10.5,4,11,3,3,1,1.6666666666666667,2.3333333333333335,1.0,0.0,2.3333333333333335,0.0,1.0,-0.16666250010416409,-0.3999880003599892,18/02/24,30.0
133,134,英超,18/04/19,0,3,伯恩茅斯,0,2,曼联,1,0,0,1,0.75,2.75,10.5,2,8,4,5,1,1.6666666666666667,2.3333333333333335,1.3333333333333333,0.0,1.6666666666666667,0.0,1.0,-0.16666250010416409,-0.11110740753086013,18/03/11,28.0
111,112,英超,18/05/05,0,1,伯恩茅斯,1,0,斯旺西,4,0,1,0,-0.5,2.5,10.0,3,11,2,6,1,1.3333333333333333,1.6666666666666667,2.0,0.0,1.6666666666666667,0.0,1.0,-0.11110740753086013,0.09090661163786438,18/03/17,31.0
85,86,英超,18/08/11,0,1,伯恩茅斯,2,0,卡迪夫,1,0,1,0,-0.5,2.5,10.5,3,7,0,4,1,1.0,1.3333333333333333,2.0,0.0,2.3333333333333335,0.0,1.0,-0.14285102067054267,-0.07692130181611197,18/04/07,112.66666666666667
65,66,英超,18/08/25,1,0,伯恩茅斯,2,2,埃弗顿,3,1,0,0,0.0,2.75,10.0,0,6,2,2,1,1.0,0.6666666666666666,1.6666666666666667,0.0,2.0,0.0,1.0,0.19998800071995684,-0.09090661163786438,18/04/19,84.66666666666667
